C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_512.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_512.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_512.jpg,0,0,0,0.0001185622
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_580.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_580.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_580.jpg,0,0,0,0.00025216
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_650.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_650.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_650.jpg,0,0,0,0.0002798694
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_723.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_723.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_723.jpg,0,0,0,5.034581E-05
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_798.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_798.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_798.jpg,0,0,0,4.645201E-05
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_870.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_870.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_870.jpg,0,0,0,6.028197E-05
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_35_939.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_35_939.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_35_939.jpg,0,0,0,7.65167E-05
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_36_011.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_36_011.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_36_011.jpg,0,0.0957627,0,0.00300687
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_36_081.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_36_081.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_36_081.jpg,0,0.2781882,0,0.2229561
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_36_152.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_36_152.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_36_152.jpg,0,0.5180196,0,0.587914
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_36_225.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_36_225.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_36_225.jpg,0,0.7135922,0,1.037755
C:\Users\김재창\Desktop\김도균\IMG\center_2022_06_09_19_53_36_297.jpg,C:\Users\김재창\Desktop\김도균\IMG\left_2022_06_09_19_53_36_297.jpg,C:\Users\김재창\Desktop\김도균\IMG\right_2022_06_09_19_53_36_297.jpg,0,0.9500343,0,1.867708
